,1,2,3
531,10.2,7.8,4.4
532,7.6,4.2,1.9
533,4.9,2.7,1.4
534,-0.9,-0.4,-3.2
536,4.4,2.5,-0.3
537,2.6,-0.6,-2.9
538,0.1,-2.1,-3.3
539,-5.7,-5.3,-7.8
541,3.5,1.6,-1.7
542,1.2,-2.3,-4.6
543,-2.1,-4.1,-5.3
544,-8.4,-7.7,-10.3
546,6.2,3.7,-0.1
547,3.0,-1.3,-3.8
548,-1.3,-3.1,-4.1
549,-7.7,-6.8,-9.8
551,9.7,7.1,3.4
552,5.7,1.7,-0.3
553,1.1,-0.3,-1.2
554,-5.1,-4.0,-7.0
556,14.5,11.6,7.6
557,10.4,6.1,3.9
558,5.9,4.2,3.4
559,-0.7,0.3,-2.2
561,21.1,17.8,12.9
562,16.9,11.8,9.0
563,12.0,9.8,8.7
564,5.3,6.3,2.9
566,24.0,20.3,15.5
567,19.4,14.1,11.8
568,14.1,12.4,11.6
569,7.9,8.9,6.0
571,24.2,21.2,17.3
572,20.2,15.9,14.1
573,15.4,14.5,14.4
574,10.2,11.5,9.2
576,23.9,21.0,17.1
577,19.9,15.7,13.9
578,15.1,14.3,14.1
579,9.9,11.2,9.2
581,21.3,18.1,13.8
582,16.6,12.1,10.1
583,11.8,10.3,9.5
584,6.0,6.9,4.6
586,14.6,11.6,7.8
587,10.7,6.8,4.6
588,6.9,5.1,3.9
589,1.1,1.8,-0.7
591,7.7,5.3,2.1
592,5.1,1.7,-0.7
593,2.2,0.1,-1.3
594,-3.6,-3.1,-6.2
596,2.4,0.6,-1.6
597,-0.2,-3.1,-5.2
598,-3.3,-5.1,-6.6
599,-9.3,-8.8,-11.1
601,3.9,2.1,-0.9
602,1.2,-2.3,-4.5
603,-2.2,-4.2,-5.4
604,-8.7,-7.9,-10.7
606,6.0,3.6,-0.3
607,2.8,-1.5,-4.0
608,-1.6,-3.3,-4.4
609,-8.1,-7.3,-10.1
611,8.7,5.9,2.0
612,4.9,0.8,-1.3
613,0.8,-1.0,-1.8
614,-5.4,-4.3,-6.9
616,15.2,12.3,8.3
617,10.9,6.6,4.4
618,6.4,4.7,3.8
619,0.2,1.2,-1.1
621,21.3,18.0,13.3
622,16.8,11.7,9.0
623,11.6,9.7,8.4
624,4.9,5.9,3.2
626,24.7,21.1,16.2
627,20.0,14.9,12.5
628,14.8,13.0,12.3
629,8.7,9.7,6.9
631,25.3,22.4,18.5
632,20.6,16.4,15.0
633,15.5,14.6,14.4
634,10.0,11.4,9.2
636,24.7,21.8,18.1
637,20.1,16.0,14.6
638,15.0,14.1,13.8
639,9.8,11.0,8.7
641,21.6,18.4,14.0
642,17.0,12.5,10.4
643,12.1,10.6,9.9
644,6.3,7.2,4.7
646,15.2,12.4,8.7
647,11.1,7.2,5.0
648,7.1,5.3,4.1
649,1.1,1.9,-0.6
651,6.3,3.9,0.8
652,3.5,0.1,-2.3
653,0.7,-1.5,-2.9
654,-5.1,-4.6,-7.1
656,3.8,1.8,-0.8
657,1.4,-1.7,-4.0
658,-1.7,-3.5,-4.8
659,-7.5,-7.1,-9.2
661,4.1,2.1,-0.9
662,1.5,-2.0,-4.3
663,-1.9,-4.0,-5.3
664,-8.3,-7.6,-10.8
666,7.3,4.8,1.1
667,3.9,-0.3,-2.8
668,-0.4,-2.1,-3.1
669,-6.6,-5.7,-8.3
671,10.0,7.2,3.4
672,6.1,2.0,-0.1
673,1.7,0.1,-0.8
674,-4.5,-3.4,-5.7
676,16.0,13.0,9.0
677,12.0,7.7,5.3
678,7.8,5.9,5.3
679,1.6,2.6,0.2
681,20.5,17.1,12.4
682,16.1,11.0,8.2
683,11.0,9.0,7.8
684,4.3,5.3,2.5
686,24.6,21.0,16.2
687,20.0,14.8,12.4
688,14.7,13.0,12.2
689,8.5,9.5,6.7
691,25.4,22.5,18.5
692,21.0,16.8,15.0
693,16.1,15.2,15.1
694,10.8,12.1,9.7
696,23.6,20.7,16.9
697,19.5,15.3,13.5
698,14.5,13.8,13.6
699,9.3,10.6,8.6
701,19.6,16.4,12.1
702,15.0,10.6,8.6
703,10.2,8.7,7.9
704,4.5,5.4,3.1
706,15.2,12.4,8.4
707,11.5,7.6,5.3
708,7.8,5.9,4.8
709,2.0,2.7,0.2
711,7.7,5.3,2.2
712,5.0,1.6,-0.8
713,2.2,0.1,-1.3
714,-3.6,-3.1,-5.7
716,4.2,2.2,-0.5
717,2.1,-1.0,-3.3
718,-0.6,-2.7,-4.0
719,-6.3,-5.9,-8.6
721,4.8,2.8,-0.6
722,2.4,-1.1,-3.5
723,-0.8,-2.9,-4.1
724,-7.2,-6.5,-9.7
